1, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:allay, 5, 1, 1
2417, taiga, biomesoplenty:field, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
2418, taiga, biomesoplenty:field, CREATURE, alexsmobs:potoo, 25, 4, 5
2419, taiga, biomesoplenty:field, CREATURE, legendarycreatures:wisp, 5, 1, 1
2420, taiga, biomesoplenty:field, AMBIENT, aquamirae:golden_moth, 1, 1, 2
2421, taiga, biomesoplenty:field, AMBIENT, alexsmobs:fly, 15, 3, 5
2422, taiga, biomesoplenty:field, CREATURE, mysticsbiomes:butterfly, 15, 2, 3
2423, taiga, biomesoplenty:field, MONSTER, minecraft:creeper, 10, 1, 3
2424, taiga, biomesoplenty:field, MONSTER, minecraft:enderman, 5, 1, 2
2425, taiga, biomesoplenty:field, MONSTER, minecraft:skeleton, 15, 1, 3
2426, taiga, biomesoplenty:field, MONSTER, minecraft:spider, 10, 2, 3
2427, taiga, biomesoplenty:field, MONSTER, minecraft:stray, 15, 3, 5
2428, taiga, biomesoplenty:field, MONSTER, minecraft:witch, 5, 1, 2
2429, taiga, biomesoplenty:field, MONSTER, minecraft:zombie, 20, 3, 5
2430, taiga, biomesoplenty:field, MONSTER, minecraft:zombie_villager, 10, 2, 3
2431, taiga, biomesoplenty:field, MONSTER, mobs_of_mythology:chupacabra, 5, 1, 3
2432, taiga, biomesoplenty:field, MONSTER, graveyard:acolyte, 5, 1, 2
2433, taiga, biomesoplenty:field, MONSTER, graveyard:corrupted_vindicator, 5, 1, 2
2434, taiga, biomesoplenty:field, MONSTER, graveyard:corrupted_pillager, 5, 1, 2
2435, taiga, biomesoplenty:field, MONSTER, graveyard:ghoul, 10, 2, 3
2436, taiga, biomesoplenty:field, MONSTER, graveyard:revenant, 5, 1, 2
2437, taiga, biomesoplenty:field, MONSTER, graveyard:wraith, 5, 1, 2
2438, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 2, 3
2439, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:lifestealer, 2, 1, 1
2440, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:restless_spirit, 5, 1, 2
2441, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 2
2442, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:dread_hound, 10, 2, 3
2443, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 5, 1, 2
2444, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:dire_hound_leader, 5, 1, 2
2445, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:corpse_fly, 10, 2, 3
2446, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:zombie_bruiser, 15, 3, 5
2447, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:missioner, 5, 1, 2
2448, taiga, biomesoplenty:field, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
2449, taiga, biomesoplenty:field, MONSTER, endermanoverhaul:snowy_enderman, 5, 1, 2
2450, taiga, biomesoplenty:field, MONSTER, irons_spellbooks:necromancer, 1, 1, 1
2451, taiga, biomesoplenty:field, MONSTER, mutantmonsters:mutant_skeleton, 1, 1, 1
2452, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:chicken, 15, 2, 4
2453, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:cow, 20, 2, 3
2454, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:donkey, 5, 1, 2
2455, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:fox, 20, 3, 5
2456, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:frog, 10, 2, 3
2457, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:mule, 5, 1, 2
2458, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:pig, 15, 2, 4
2459, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:sheep, 15, 2, 4
2460, taiga, biomesoplenty:fir_clearing, CREATURE, minecraft:wolf, 20, 3, 5
2461, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:moose, 10, 2, 2
2462, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:raccoon, 5, 1, 1
2463, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:snow_leopard, 5, 1, 2
2464, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:crow, 10, 1, 2
2465, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
2466, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:potoo, 25, 4, 5
2467, taiga, biomesoplenty:fir_clearing, CREATURE, legendarycreatures:wisp, 5, 1, 1
2468, taiga, biomesoplenty:fir_clearing, AMBIENT, aquamirae:golden_moth, 1, 1, 2
2469, taiga, biomesoplenty:fir_clearing, AMBIENT, alexsmobs:fly, 15, 3, 5
2470, taiga, biomesoplenty:fir_clearing, CREATURE, mysticsbiomes:butterfly, 15, 2, 3
2471, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:creeper, 10, 1, 3
2472, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:enderman, 5, 1, 2
2473, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:skeleton, 15, 1, 3
2474, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:spider, 10, 2, 3
2475, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:stray, 15, 3, 5
2476, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:witch, 5, 1, 2
2477, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:zombie, 20, 3, 5
2478, taiga, biomesoplenty:fir_clearing, MONSTER, minecraft:zombie_villager, 10, 2, 3
2479, taiga, biomesoplenty:fir_clearing, MONSTER, mobs_of_mythology:chupacabra, 5, 1, 3
2480, taiga, biomesoplenty:fir_clearing, MONSTER, graveyard:acolyte, 5, 1, 2
2481, taiga, biomesoplenty:fir_clearing, MONSTER, graveyard:corrupted_vindicator, 5, 1, 2
2482, taiga, biomesoplenty:fir_clearing, MONSTER, graveyard:corrupted_pillager, 5, 1, 2
2483, taiga, biomesoplenty:fir_clearing, MONSTER, graveyard:ghoul, 10, 2, 3
2484, taiga, biomesoplenty:fir_clearing, MONSTER, graveyard:revenant, 5, 1, 2
2485, taiga, biomesoplenty:fir_clearing, MONSTER, graveyard:wraith, 5, 1, 2
2486, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 2, 3
2487, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:lifestealer, 2, 1, 1
2488, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:restless_spirit, 5, 1, 2
2489, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 2
2490, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:dread_hound, 10, 2, 3
2491, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 5, 1, 2
2492, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:dire_hound_leader, 5, 1, 2
2493, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:corpse_fly, 10, 2, 3
2494, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:zombie_bruiser, 15, 3, 5
2495, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:missioner, 5, 1, 2
2496, taiga, biomesoplenty:fir_clearing, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
2497, taiga, biomesoplenty:fir_clearing, MONSTER, endermanoverhaul:snowy_enderman, 5, 1, 2
2498, taiga, biomesoplenty:fir_clearing, MONSTER, irons_spellbooks:necromancer, 1, 1, 1
2499, taiga, biomesoplenty:fir_clearing, MONSTER, mutantmonsters:mutant_skeleton, 1, 1, 1
2500, nether, betternether:flooded_deltas, CREATURE, minecraft:strider, 15, 2, 4
2501, nether, betternether:flooded_deltas, CREATURE, alexsmobs:warped_toad, 10, 2, 3
2502, nether, betternether:flooded_deltas, CREATURE, alexsmobs:laviathan, 2, 1, 1
2503, nether, betternether:flooded_deltas, CREATURE, quark:foxhound, 10, 2, 3
2504, nether, betternether:flooded_deltas, CREATURE, legendarycreatures:nether_wisp, 10, 1, 1
2505, nether, betternether:flooded_deltas, AMBIENT, betternether:firefly, 25, 1, 3
2506, nether, betternether:flooded_deltas, AMBIENT, betternether:hydrogen_jellyfish, 3, 1, 2
2507, nether, betternether:flooded_deltas, AMBIENT, betternether:flying_pig, 10, 2, 3
2508, nether, betternether:flooded_deltas, MONSTER, minecraft:blaze, 10, 1, 2
2509, nether, betternether:flooded_deltas, MONSTER, minecraft:enderman, 5, 1, 2
2510, nether, betternether:flooded_deltas, MONSTER, minecraft:ghast, 3, 1, 1
2511, nether, betternether:flooded_deltas, MONSTER, minecraft:hoglin, 15, 2, 4
2512, nether, betternether:flooded_deltas, MONSTER, minecraft:magma_cube, 15, 3, 5
2513, nether, betternether:flooded_deltas, MONSTER, minecraft:piglin, 20, 2, 4
2514, nether, betternether:flooded_deltas, MONSTER, minecraft:piglin_brute, 5, 1, 2
2515, nether, betternether:flooded_deltas, MONSTER, minecraft:skeleton, 10, 2, 3
2516, nether, betternether:flooded_deltas, MONSTER, minecraft:wither_skeleton, 10, 2, 3
2517, nether, betternether:flooded_deltas, MONSTER, minecraft:zoglin, 10, 2, 3
2518, nether, betternether:flooded_deltas, MONSTER, minecraft:zombified_piglin, 20, 2, 4
2519, nether, betternether:flooded_deltas, MONSTER, betternether:naga, 10, 2, 3
2520, nether, betternether:flooded_deltas, MONSTER, betternether:jungle_skeleton, 10, 2, 3
2521, nether, betternether:flooded_deltas, MONSTER, betternether:skull, 5, 1, 2
2522, nether, betternether:flooded_deltas, MONSTER, alexsmobs:bone_serpent, 5, 1, 2
2523, nether, betternether:flooded_deltas, MONSTER, alexsmobs:straddler, 10, 2, 3
2524, nether, betternether:flooded_deltas, MONSTER, alexsmobs:dropbear, 5, 1, 2
2525, nether, betternether:flooded_deltas, MONSTER, born_in_chaos_v1:bone_imp, 10, 2, 3
2526, nether, betternether:flooded_deltas, MONSTER, born_in_chaos_v1:supreme_bonescaller, 1, 1, 1
2527, nether, betternether:flooded_deltas, MONSTER, cataclysm:ignited_revenant, 10, 1, 1
2528, nether, betternether:flooded_deltas, MONSTER, cataclysm:ignited_berserker, 5, 1, 1
2529, nether, betternether:flooded_deltas, MONSTER, endermanoverhaul:soulsand_valley_enderman, 15, 1, 2
2530, nether, betternether:flooded_deltas, MONSTER, endermanoverhaul:warped_forest_enderman, 15, 1, 2
2531, nether, betternether:flooded_deltas, MONSTER, endermanoverhaul:spirit, 15, 1, 2
2532, nether, betternether:flooded_deltas, MONSTER, quark:wraith, 10, 2, 3
2533, jungle, biomesoplenty:floodplain, CREATURE, minecraft:chicken, 20, 2, 4
2534, jungle, biomesoplenty:floodplain, CREATURE, minecraft:cow, 15, 2, 3
2535, jungle, biomesoplenty:floodplain, CREATURE, minecraft:donkey, 1, 1, 2
2536, jungle, biomesoplenty:floodplain, CREATURE, minecraft:frog, 14, 3, 5
2537, jungle, biomesoplenty:floodplain, CREATURE, minecraft:ocelot, 35, 2, 4
2538, jungle, biomesoplenty:floodplain, CREATURE, minecraft:panda, 10, 2, 3
2539, jungle, biomesoplenty:floodplain, CREATURE, minecraft:parrot, 15, 2, 4
2540, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:gorilla, 10, 2, 3
2541, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:capuchin_monkey, 15, 2, 3
2542, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:crow, 10, 2, 3
2543, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:tiger, 15, 1, 2
2544, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:toucan, 15, 2, 4
2545, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:anaconda, 5, 1, 2
2546, jungle, biomesoplenty:floodplain, CREATURE, legendarycreatures:wisp, 10, 1, 1
2547, jungle, biomesoplenty:floodplain, CREATURE, legendarycreatures:peacock_spider, 2, 1, 1
2548, jungle, biomesoplenty:floodplain, MONSTER, minecraft:creeper, 10, 2, 3
2549, jungle, biomesoplenty:floodplain, MONSTER, minecraft:enderman, 5, 1, 2
2550, jungle, biomesoplenty:floodplain, MONSTER, minecraft:skeleton, 10, 2, 3
2551, jungle, biomesoplenty:floodplain, MONSTER, minecraft:spider, 10, 2, 3
2552, jungle, biomesoplenty:floodplain, MONSTER, minecraft:witch, 5, 1, 2
2553, jungle, biomesoplenty:floodplain, MONSTER, minecraft:zombie, 15, 2, 4
2554, jungle, biomesoplenty:floodplain, MONSTER, minecraft:zombie_villager, 10, 2, 3
2555, jungle, biomesoplenty:floodplain, MONSTER, graveyard:revenant, 5, 1, 2
2556, jungle, biomesoplenty:floodplain, MONSTER, graveyard:nightmare, 5, 1, 2
2557, jungle, biomesoplenty:floodplain, MONSTER, alexsmobs:centipede_head, 10, 1, 1
2558, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 2, 3
2559, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 3, 5
2560, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 2
2561, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 5, 1, 2
2562, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:zombie_clown, 5, 2, 3
2563, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:corpse_fly, 10, 2, 3
2564, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 2, 3
2565, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:zombie_bruiser, 15, 3, 5
2566, jungle, biomesoplenty:floodplain, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
2567, jungle, biomesoplenty:floodplain, MONSTER, call_of_yucutan:mitnal_monkey, 10, 2, 3
2568, jungle, biomesoplenty:floodplain, MONSTER, call_of_yucutan:undead_warrior, 5, 1, 2
2569, jungle, biomesoplenty:floodplain, MONSTER, mowziesmobs:foliaath, 20, 1, 3
2570, none, regions_unexplored:flower_fields, CREATURE, minecraft:chicken, 30, 2, 4
2571, none, regions_unexplored:flower_fields, CREATURE, minecraft:cow, 25, 2, 3
2572, none, regions_unexplored:flower_fields, CREATURE, minecraft:donkey, 10, 1, 2
2573, none, regions_unexplored:flower_fields, CREATURE, minecraft:horse, 10, 2, 3
2574, none, regions_unexplored:flower_fields, CREATURE, minecraft:mule, 5, 1, 1
2575, none, regions_unexplored:flower_fields, CREATURE, minecraft:pig, 30, 2, 4
2576, none, regions_unexplored:flower_fields, CREATURE, minecraft:rabbit, 15, 2, 3
2577, none, regions_unexplored:flower_fields, CREATURE, minecraft:sheep, 25, 2, 4
2578, none, regions_unexplored:flower_fields, CREATURE, alexsmobs:raccoon, 10, 1, 1
2579, none, regions_unexplored:flower_fields, CREATURE, alexsmobs:crow, 15, 1, 1
2580, none, regions_unexplored:flower_fields, CREATURE, alexsmobs:bison, 10, 1, 2
2581, none, regions_unexplored:flower_fields, CREATURE, iceandfire:cyclops, 2, 1, 1
2582, none, regions_unexplored:flower_fields, CREATURE, legendarycreatures:hound, 10, 1, 1
2583, none, regions_unexplored:flower_fields, CREATURE, legendarycreatures:wisp, 4, 1, 1
2584, none, regions_unexplored:flower_fields, MONSTER, minecraft:creeper, 20, 1, 2
2585, none, regions_unexplored:flower_fields, MONSTER, minecraft:enderman, 10, 1, 1
2586, none, regions_unexplored:flower_fields, MONSTER, minecraft:skeleton, 30, 1, 2
2587, none, regions_unexplored:flower_fields, MONSTER, minecraft:spider, 20, 1, 2
2588, none, regions_unexplored:flower_fields, MONSTER, minecraft:vindicator, 10, 1, 2
2589, none, regions_unexplored:flower_fields, MONSTER, minecraft:witch, 10, 1, 2
2590, none, regions_unexplored:flower_fields, MONSTER, minecraft:zombie, 30, 2, 3
2591, none, regions_unexplored:flower_fields, MONSTER, mutantmonsters:mutant_skeleton, 1, 1, 1
2592, none, regions_unexplored:flower_fields, MONSTER, graveyard:revenant, 20, 1, 2
2593, none, regions_unexplored:flower_fields, MONSTER, graveyard:wraith, 10, 1, 1
2594, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 2
2595, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:decaying_zombie, 20, 2, 3
2596, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 2
2597, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:dark_vortex, 4, 1, 1
2598, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 2
2599, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:zombie_clown, 20, 2, 3
2600, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 2, 3
2601, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:baby_spider, 10, 1, 2
2602, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
2603, none, regions_unexplored:flower_fields, MONSTER, born_in_chaos_v1:door_knight, 0, 1, 1
2604, none, regions_unexplored:flower_fields, MONSTER, endermanoverhaul:flower_fields_enderman, 10, 1, 2
2605, none, regions_unexplored:flower_fields, MONSTER, mobs_of_mythology:chupacabra, 10, 1, 3
2606, none, regions_unexplored:flower_fields, AMBIENT, alexsmobs:fly, 10, 2, 3
2607, none, regions_unexplored:flower_fields, CREATURE, mysticsbiomes:butterfly, 15, 2, 3
2608, none, regions_unexplored:flower_fields, MONSTER, mowziesmobs:bluff, 10, 1, 2
2609, forest, minecraft:flower_forest, CREATURE, minecraft:allay, 5, 1, 1
2610, forest, minecraft:flower_forest, CREATURE, minecraft:bee, 15, 2, 4
2611, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 25, 2, 4
2612, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 20, 2, 3
2613, forest, minecraft:flower_forest, CREATURE, minecraft:donkey, 5, 1, 2
2614, forest, minecraft:flower_forest, CREATURE, minecraft:horse, 5, 1, 2
2615, forest, minecraft:flower_forest, CREATURE, minecraft:mooshroom, 2, 1, 1
2616, forest, minecraft:flower_forest, CREATURE, minecraft:mule, 5, 1, 1
2617, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 25, 2, 4
2618, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 15, 2, 3
2619, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 25, 2, 4
2620, forest, minecraft:flower_forest, CREATURE, minecraft:wolf, 15, 2, 3
2621, forest, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear, 5, 1, 2
2622, forest, minecraft:flower_forest, CREATURE, alexsmobs:hummingbird, 15, 2, 3
2623, forest, minecraft:flower_forest, CREATURE, alexsmobs:raccoon, 10, 2, 3
2624, forest, minecraft:flower_forest, CREATURE, alexsmobs:crow, 10, 1, 3
2625, forest, minecraft:flower_forest, CREATURE, alexsmobs:bald_eagle, 5, 1, 2
2626, forest, minecraft:flower_forest, CREATURE, alexsmobs:bunfungus, 5, 1, 2
2627, forest, minecraft:flower_forest, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
2628, forest, minecraft:flower_forest, CREATURE, legendarycreatures:forest_mojo, 5, 1, 2
2629, forest, minecraft:flower_forest, CREATURE, legendarycreatures:hound, 150, 1, 2
2630, forest, minecraft:flower_forest, CREATURE, legendarycreatures:wisp, 10, 2, 3
2631, forest, minecraft:flower_forest, CREATURE, iceandfire:pixie, 10, 2, 3
2632, forest, minecraft:flower_forest, MONSTER, minecraft:silverfish, 6, 1, 3
2633, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 20, 1, 2
2634, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 10, 1, 1
2635, forest, minecraft:flower_forest, MONSTER, minecraft:pillager, 5, 1, 2
2636, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 10, 1, 2
2637, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 10, 1, 2
2638, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 6, 1, 1
2639, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 20, 1, 2
2640, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
2641, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_zombie, 1, 1, 1
2642, forest, minecraft:flower_forest, MONSTER, graveyard:reaper, 6, 1, 1
2643, forest, minecraft:flower_forest, MONSTER, graveyard:corrupted_pillager, 10, 1, 2
2644, forest, minecraft:flower_forest, MONSTER, graveyard:ghoul, 10, 1, 2
2645, forest, minecraft:flower_forest, MONSTER, graveyard:revenant, 10, 1, 2
2646, forest, minecraft:flower_forest, MONSTER, graveyard:wraith, 6, 1, 1
2647, forest, minecraft:flower_forest, MONSTER, graveyard:nightmare, 4, 1, 1
2648, forest, minecraft:flower_forest, MONSTER, iceandfire:troll, 4, 1, 1
2649, forest, minecraft:flower_forest, MONSTER, mobs_of_mythology:chupacabra, 10, 1, 3
2650, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 2
2651, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 6, 1, 1
2652, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 5, 1, 2
2653, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 4, 1, 1
2654, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:restless_spirit, 6, 1, 1
2655, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:bonescaller, 3, 1, 1
2656, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 1
2657, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:dark_vortex, 4, 1, 1
2658, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:dread_hound, 10, 1, 2
2659, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 6, 1, 1
2660, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 6, 1, 1
2661, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:corpse_fly, 15, 2, 3
2662, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 2, 3
2663, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 2
2664, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 2
2665, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:siamese_skeletons, 6, 1, 1
2666, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:baby_spider, 10, 1, 2
2667, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
2668, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:door_knight, 0, 1, 1
2669, forest, minecraft:flower_forest, CREATURE, mysticsbiomes:butterfly, 15, 2, 3
2670, forest, minecraft:flower_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
2671, forest, minecraft:flower_forest, AMBIENT, mowziesmobs:lantern, 10, 2, 4
2672, the_end, betterend:foggy_mushroomland, AMBIENT, betterend:dragonfly, 10, 2, 3
2673, the_end, betterend:foggy_mushroomland, AMBIENT, betterend:silk_moth, 15, 3, 5
2674, the_end, betterend:foggy_mushroomland, AMBIENT, alexsmobs:cosmic_cod, 10, 2, 3
2675, the_end, betterend:foggy_mushroomland, WATER_AMBIENT, betterend:end_fish, 10, 2, 3
2676, the_end, betterend:foggy_mushroomland, WATER_AMBIENT, betterend:cubozoa, 5, 1, 2
2677, the_end, betterend:foggy_mushroomland, CREATURE, alexsmobs:endergrade, 10, 2, 4
2678, the_end, betterend:foggy_mushroomland, CREATURE, alexsmobs:spectre, 10, 2, 3
2679, the_end, betterend:foggy_mushroomland, CREATURE, alexsmobs:enderiophage, 10, 2, 3
2680, the_end, betterend:foggy_mushroomland, CREATURE, alexsmobs:cosmaw, 5, 1, 2
2681, the_end, betterend:foggy_mushroomland, CREATURE, legendarycreatures:ender_wisp, 10, 1, 2
2682, the_end, betterend:foggy_mushroomland, MONSTER, minecraft:enderman, 20, 3, 5
2683, the_end, betterend:foggy_mushroomland, MONSTER, minecraft:endermite, 10, 2, 3
2684, the_end, betterend:foggy_mushroomland, MONSTER, betterend:end_slime, 10, 2, 3
2685, the_end, betterend:foggy_mushroomland, MONSTER, betterend:shadow_walker, 5, 1, 2
2686, the_end, betterend:foggy_mushroomland, MONSTER, mutantmonsters:mutant_enderman, 1, 1, 1
2687, the_end, betterend:foggy_mushroomland, MONSTER, alexsmobs:mimicube, 10, 2, 3
2688, the_end, betterend:foggy_mushroomland, MONSTER, alexsmobs:farseer, 2, 1, 2
2689, the_end, betterend:foggy_mushroomland, MONSTER, cataclysm:endermaptera, 30, 2, 3
2690, the_end, betterend:foggy_mushroomland, MONSTER, endermanoverhaul:end_enderman, 10, 2, 3
2691, the_end, betterend:foggy_mushroomland, MONSTER, endermanoverhaul:end_islands_enderman, 10, 2, 3
2692, forest, minecraft:forest, CREATURE, minecraft:allay, 5, 1, 1
2693, forest, minecraft:forest, CREATURE, minecraft:bee, 15, 2, 4
2694, forest, minecraft:forest, CREATURE, minecraft:chicken, 25, 2, 4
2695, forest, minecraft:forest, CREATURE, minecraft:cow, 20, 2, 3
2696, forest, minecraft:forest, CREATURE, minecraft:donkey, 5, 1, 2
2697, forest, minecraft:forest, CREATURE, minecraft:horse, 5, 1, 2
2698, forest, minecraft:forest, CREATURE, minecraft:mooshroom, 2, 1, 1
2699, forest, minecraft:forest, CREATURE, minecraft:mule, 5, 1, 1
2700, forest, minecraft:forest, CREATURE, minecraft:pig, 25, 2, 4
2701, forest, minecraft:forest, CREATURE, minecraft:rabbit, 15, 2, 3
2702, forest, minecraft:forest, CREATURE, minecraft:sheep, 25, 2, 4
2703, forest, minecraft:forest, CREATURE, minecraft:wolf, 15, 2, 3
2704, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 5, 1, 2
2705, forest, minecraft:forest, CREATURE, alexsmobs:hummingbird, 15, 2, 3
2706, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 3
2707, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 1, 3
2708, forest, minecraft:forest, CREATURE, alexsmobs:bald_eagle, 5, 1, 2
2709, forest, minecraft:forest, CREATURE, alexsmobs:bunfungus, 5, 1, 2
2710, forest, minecraft:forest, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
2711, forest, minecraft:forest, CREATURE, legendarycreatures:forest_mojo, 5, 1, 2
2712, forest, minecraft:forest, CREATURE, legendarycreatures:hound, 150, 1, 2
2713, forest, minecraft:forest, CREATURE, legendarycreatures:wisp, 10, 2, 3
2714, forest, minecraft:forest, CREATURE, iceandfire:pixie, 10, 2, 3
2715, forest, minecraft:forest, MONSTER, minecraft:silverfish, 6, 1, 3
2716, forest, minecraft:forest, MONSTER, minecraft:creeper, 20, 1, 2
2717, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 1
2718, forest, minecraft:forest, MONSTER, minecraft:pillager, 5, 1, 2
